Year,Female,Male,Total,Countries
1960,2369,2547,4916,Iceland
1961,2206,2357,4563,Iceland
1962,2301,2410,4711,Iceland
1963,2349,2471,4820,Iceland
1964,2412,2375,4787,Iceland
1965,2271,2450,4721,Iceland
1966,2296,2396,4692,Iceland
1967,2156,2248,4404,Iceland
1968,2014,2213,4227,Iceland
1969,2094,2124,4218,Iceland
1970,1952,2071,4023,Iceland
1971,2060,2217,4277,Iceland
1972,2287,2389,4676,Iceland
1973,2202,2396,4598,Iceland
1974,2072,2204,4276,Iceland
1975,2134,2250,4384,Iceland
1976,2060,2231,4291,Iceland
1977,1958,2038,3996,Iceland
1978,2038,2124,4162,Iceland
1979,2186,2289,4475,Iceland
1980,2209,2319,4528,Iceland
1981,2077,2268,4345,Iceland
1982,2081,2256,4337,Iceland
1983,2161,2210,4371,Iceland
1984,1998,2115,4113,Iceland
1985,1952,1904,3856,Iceland
1986,1890,1991,3881,Iceland
1987,1979,2214,4193,Iceland
1988,2229,2444,4673,Iceland
1989,2273,2287,4560,Iceland
1990,2337,2431,4768,Iceland
1991,2192,2341,4533,Iceland
1992,2230,2379,4609,Iceland
1993,2302,2321,4623,Iceland
1994,2153,2289,4442,Iceland
1995,2050,2230,4280,Iceland
1996,2115,2214,4329,Iceland
1997,1999,2152,4151,Iceland
1998,2050,2128,4178,Iceland
1999,2071,2029,4100,Iceland
2000,2120,2195,4315,Iceland
2001,1995,2096,4091,Iceland
2002,1983,2066,4049,Iceland
2003,2040,2103,4143,Iceland
2004,2058,2176,4234,Iceland
2005,2097,2183,4280,Iceland
2006,2157,2258,4415,Iceland
2007,2201,2359,4560,Iceland
2008,2365,2470,4835,Iceland
2009,2465,2561,5026,Iceland
2010,2384,2523,4907,Iceland
2011,2166,2326,4492,Iceland
2012,2216,2317,4533,Iceland
2013,2197,2129,4326,Iceland
2014,2142,2233,4375,Iceland
2015,2010,2119,4129,Iceland
2016,1992,2042,4034,Iceland
2017,1959,2112,4071,Iceland
2018,1986,2242,4228,Iceland
2019,2185,2267,4452,Iceland
2020,2127,2385,4512,Iceland
2021,2303,2576,4879,Iceland
1950,30698,32867,63565,Ireland
1951,30575,32303,62878,Ireland
1952,31605,33026,64631,Ireland
1953,30317,32241,62558,Ireland
1954,30447,32087,62534,Ireland
1955,30139,31483,61622,Ireland
1956,29483,31257,60740,Ireland
1957,29907,31335,61242,Ireland
1958,29012,30498,59510,Ireland
1959,29503,30685,60188,Ireland
1960,29594,31141,60735,Ireland
1961,29138,30687,59825,Ireland
1962,30132,31650,61782,Ireland
1963,30760,32486,63246,Ireland
1964,31313,32759,64072,Ireland
1965,31087,32438,63525,Ireland
1966,30042,32173,62215,Ireland
1967,29665,31642,61307,Ireland
1968,29535,31469,61004,Ireland
1969,30769,32143,62912,Ireland
1970,31198,33086,64284,Ireland
1971,32800,34751,67551,Ireland
1972,33152,35375,68527,Ireland
1973,33409,35304,68713,Ireland
1974,33475,35432,68907,Ireland
1975,32646,34532,67178,Ireland
1976,32869,34849,67718,Ireland
1977,33374,35518,68892,Ireland
1978,34533,35766,70299,Ireland
1979,35184,37355,72539,Ireland
1980,35797,38267,74064,Ireland
1981,35083,37075,72158,Ireland
1982,34587,36256,70843,Ireland
1983,32475,34642,67117,Ireland
1984,30840,33222,64062,Ireland
1985,30320,32068,62388,Ireland
1986,29745,31875,61620,Ireland
1987,28502,29931,58433,Ireland
1988,26517,28083,54600,Ireland
1989,25264,26754,52018,Ireland
1990,25485,27559,53044,Ireland
1991,25596,27122,52718,Ireland
1992,24782,26307,51089,Ireland
1993,23945,25359,49304,Ireland
1994,23298,24957,48255,Ireland
1995,23634,25153,48787,Ireland
1996,24305,26350,50655,Ireland
1997,25714,27061,52775,Ireland
1998,26121,27848,53969,Ireland
1999,26107,27817,53924,Ireland
2000,26614,28175,54789,Ireland
2001,28170,29684,57854,Ireland
2002,29490,31013,60503,Ireland
2003,30074,31455,61529,Ireland
2004,30006,31966,61972,Ireland
2005,29883,31489,61372,Ireland
2006,31770,33655,65425,Ireland
2007,34902,36487,71389,Ireland
2008,36554,38619,75173,Ireland
2009,36872,38682,75554,Ireland
2010,36779,38395,75174,Ireland
2011,36135,37898,74033,Ireland
2012,34784,36890,71674,Ireland
2013,33614,35340,68954,Ireland
2014,32614,34681,67295,Ireland
2015,32056,33480,65536,Ireland
2016,31132,32709,63841,Ireland
2017,30045,31779,61824,Ireland
2018,29716,31306,61022,Ireland
2019,29023,30271,59294,Ireland
2020,27057,28902,55959,Ireland
1983,47886,50838,98724,Israel
1984,47564,50914,98478,Israel
1985,48465,50911,99376,Israel
1986,48405,50936,99341,Israel
1987,48463,50559,99022,Israel
1988,48851,51603,100454,Israel
1989,49119,51638,100757,Israel
1990,50336,53013,103349,Israel
1991,51584,54141,105725,Israel
1992,53459,56603,110062,Israel
1993,54562,57768,112330,Israel
1994,55689,58854,114543,Israel
1995,56891,59995,116886,Israel
1996,58905,62428,121333,Israel
1997,60476,64002,124478,Israel
1998,63260,66820,130080,Israel
1999,64081,67855,131936,Israel
2000,66217,70173,136390,Israel
2001,66412,70224,136636,Israel
2002,68217,71318,139535,Israel
2003,70665,74271,144936,Israel
2004,70513,74694,145207,Israel
2005,69957,73956,143913,Israel
2006,72092,76078,148170,Israel
2007,73849,77830,151679,Israel
2008,76669,80254,156923,Israel
2009,78644,82398,161042,Israel
2010,80840,85415,166255,Israel
2011,81134,85162,166296,Israel
2012,83488,87452,170940,Israel
2013,83249,88195,171444,Israel
2014,85647,90780,176427,Israel
2015,86835,91888,178723,Israel
2016,88041,93364,181405,Israel
1862,404132,428922,833054,Italy
1863,418690,443700,862390,Italy
1864,409611,435843,845454,Italy
1865,419289,446098,865387,Italy
1866,424626,452291,876917,Italy
1867,448772,478624,927396,Italy
1868,436886,463530,900416,Italy
1869,459788,492346,952134,Italy
1870,460797,490698,951495,Italy
1871,464657,495363,960020,Italy
1872,494379,526303,1020682,Italy
1873,477146,508042,985188,Italy
1874,460427,491231,951658,Italy
1875,501866,533511,1035377,Italy
1876,525413,558308,1083721,Italy
1877,499170,529867,1029037,Italy
1878,490530,521945,1012475,Italy
1879,515194,548959,1064153,Italy
1880,464309,493591,957900,Italy
1881,524096,557029,1081125,Italy
1882,515380,545714,1061094,Italy
1883,520050,551402,1071452,Italy
1884,549328,581413,1130741,Italy
1885,545891,580079,1125970,Italy
1886,527519,559441,1086960,Italy
1887,559970,592936,1152906,Italy
1888,544482,575081,1119563,Italy
1889,557717,591480,1149197,Italy
1890,526725,556378,1083103,Italy
1891,550321,581818,1132139,Italy
1892,539786,570787,1110573,Italy
1893,547220,579076,1126296,Italy
1894,536523,566412,1102935,Italy
1895,530624,561478,1092102,Italy
1896,532610,562895,1095505,Italy
1897,535194,566654,1101848,Italy
1898,520144,549930,1070074,Italy
1899,530127,558431,1088558,Italy
1900,519440,547936,1067376,Italy
1901,513756,544007,1057763,Italy
1902,531404,561670,1093074,Italy
1903,506455,535635,1042090,Italy
1904,527746,557685,1085431,Italy
1905,527576,556942,1084518,Italy
1906,520723,550255,1070978,Italy
1907,516339,545994,1062333,Italy
1908,554063,584750,1138813,Italy
1909,544220,571611,1115831,Italy
1910,557675,586735,1144410,Italy
1911,531986,561559,1093545,Italy
1912,552151,581834,1133985,Italy
1913,547636,574846,1122482,Italy
1914,543226,570865,1114091,Italy
1915,540979,568204,1109183,Italy
1916,429322,452304,881626,Italy
1917,335580,355627,691207,Italy
1918,311556,328707,640263,Italy
1919,374686,395934,770620,Italy
1920,562027,596014,1158041,Italy
1921,544052,574292,1118344,Italy
1922,573449,602385,1175834,Italy
1923,563728,591429,1155157,Italy
1924,547624,577026,1124650,Italy
1925,540526,568039,1108565,Italy
1926,534445,560221,1094666,Italy
1927,532821,560951,1093772,Italy
1928,520153,552163,1072316,Italy
1929,505595,532105,1037700,Italy
1930,533662,559016,1092678,Italy
1931,500812,525385,1026197,Italy
1932,483124,507871,990995,Italy
1933,484947,511032,995979,Italy
1934,484152,508814,992966,Italy
1935,485764,510944,996708,Italy
1936,469382,493304,962686,Italy
1937,482760,509107,991867,Italy
1938,504522,532658,1037180,Italy
1939,505338,534875,1040213,Italy
1940,509285,537194,1046479,Italy
1941,455947,481599,937546,Italy
1942,449871,476192,926063,Italy
1943,428719,453386,882105,Italy
1944,395513,419233,814746,Italy
1945,396193,419485,815678,Italy
1946,502558,533540,1036098,Italy
1947,490781,520709,1011490,Italy
1948,489076,516775,1005851,Italy
1949,455404,481742,937146,Italy
1950,441417,467205,908622,Italy
1951,419456,441542,860998,Italy
1952,410849,433598,844447,Italy
1953,407814,431664,839478,Italy
1954,424635,446054,870689,Italy
1955,423189,446144,869333,Italy
1956,425427,448181,873608,Italy
1957,427764,451142,878906,Italy
1958,423789,446679,870468,Italy
1959,437709,463308,901017,Italy
1960,442822,467370,910192,Italy
1961,452438,477219,929657,Italy
1962,456519,480738,937257,Italy
1963,467582,492754,960336,Italy
1964,493962,522158,1016120,Italy
1965,481683,508775,990458,Italy
1966,477216,502724,979940,Italy
1967,462119,486653,948772,Italy
1968,452560,477612,930172,Italy
1969,453831,478635,932466,Italy
1970,437880,463592,901472,Italy
1971,440350,465832,906182,Italy
1972,430160,458043,888203,Italy
1973,424547,449999,874546,Italy
1974,421751,447131,868882,Italy
1975,401692,426160,827852,Italy
1976,378910,402728,781638,Italy
1977,359945,381158,741103,Italy
1978,344202,364841,709043,Italy
1979,325173,345048,670221,Italy
1980,309423,330978,640401,Italy
1981,302782,320321,623103,Italy
1982,300746,318351,619097,Italy
1983,292015,309913,601928,Italy
1984,285376,302495,587871,Italy
1985,280624,296721,577345,Italy
1986,269218,286227,555445,Italy
1987,266945,284594,551539,Italy
1988,276075,293623,569698,Italy
1989,271949,288739,560688,Italy
1990,276181,293074,569255,Italy
1991,272803,289984,562787,Italy
1992,274877,292964,567841,Italy
1993,265961,283523,549484,Italy
1994,257855,275195,533050,Italy
1995,254613,270996,525609,Italy
1996,255950,272153,528103,Italy
1997,262212,277836,540048,Italy
1998,258423,274420,532843,Italy
1999,261096,276146,537242,Italy
2000,263086,279953,543039,Italy
2001,260091,275191,535282,Italy
2002,261686,276512,538198,Italy
2003,258300,272974,531274,Italy
2004,273749,288850,562599,Italy
2005,268325,285697,554022,Italy
2006,271509,288501,560010,Italy
2007,273603,290330,563933,Italy
2008,280521,296138,576659,Italy
2009,276090,292767,568857,Italy
2010,272759,289185,561944,Italy
2011,265515,281070,546585,Italy
2012,259573,274613,534186,Italy
2013,250048,264260,514308,Italy
2014,244054,258542,502596,Italy
2015,235830,249950,485780,Italy
2016,230358,243080,473438,Italy
2017,222418,235733,458151,Italy
2018,213530,226217,439747,Italy
2019,204697,215387,420084,Italy
2020,196461,208431,404892,Italy
1873,411414,430145,841559,Japan
1874,426765,443470,870235,Japan
1875,441293,464476,905769,Japan
1876,458588,483275,941863,Japan
1877,455482,475302,930784,Japan
1878,446587,470226,916813,Japan
1879,451139,472940,924079,Japan
1880,457777,477421,935198,Japan
1881,493352,504142,997494,Japan
1882,485880,510182,996062,Japan
1883,537856,556118,1093974,Japan
1884,529050,545436,1074486,Japan
1885,561525,586413,1147938,Japan
1886,551734,574806,1126540,Japan
1887,537751,562523,1100274,Japan
1888,594104,619997,1214101,Japan
1889,614403,638653,1253056,Japan
1890,582540,607723,1190263,Japan
1891,555671,576600,1132271,Japan
1892,618668,644001,1262669,Japan
1893,607001,631131,1238132,Japan
1894,621939,651723,1273662,Japan
1895,642083,670373,1312456,Japan
1896,666848,684129,1350977,Japan
1897,687050,716708,1403758,Japan
1898,720857,737280,1458137,Japan
1899,693514,731146,1424660,Japan
1900,718919,750613,1469532,Japan
1901,761947,794922,1556869,Japan
1902,769317,800284,1569601,Japan
1903,759845,792140,1551985,Japan
1904,734786,765363,1500149,Japan
1905,751930,764600,1516530,Japan
1906,703248,757261,1460509,Japan
1907,835075,850055,1685130,Japan
1908,851093,882871,1733964,Japan
1909,868918,897094,1766012,Japan
1910,876994,904837,1781831,Japan
1911,896053,925143,1821196,Japan
1912,893925,923149,1817074,Japan
1913,900944,934035,1834979,Japan
1914,921703,960973,1882676,Japan
1915,920195,951757,1871952,Japan
1916,920482,952937,1873419,Japan
1917,925595,957692,1883287,Japan
1918,912006,944467,1856473,Japan
1919,906059,943640,1849699,Japan
1920,1022599,1065324,2087923,Japan
1921,1005463,1046971,2052434,Japan
1922,1000340,1037495,2037835,Japan
1923,1037157,1079714,2116871,Japan
1924,1013829,1053625,2067454,Japan
1925,1061362,1095049,2156411,Japan
1926,1057668,1116463,2174131,Japan
1927,1046974,1082351,2129325,Japan
1928,1079823,1124186,2204009,Japan
1929,1052613,1090949,2143562,Japan
1930,1049443,1103245,2152688,Japan
1931,1063541,1106690,2170231,Japan
1932,1101585,1153888,2255473,Japan
1933,1068716,1122116,2190832,Japan
1934,1034408,1075095,2109503,Japan
1935,1102492,1157512,2260004,Japan
1936,1058893,1108709,2167602,Japan
1937,1095056,1145719,2240775,Japan
1938,961203,1014237,1975440,Japan
1939,949434,994302,1943736,Japan
1940,1049599,1102038,2151637,Japan
1947,1318606,1394021,2712627,Japan
1948,1310812,1386368,2697180,Japan
1949,1322504,1385988,2708492,Japan
1950,1140313,1209253,2349566,Japan
1951,1049303,1100876,2150179,Japan
1952,985336,1036070,2021406,Japan
1953,918051,965192,1883243,Japan
1954,866151,919167,1785318,Japan
1955,848196,896861,1745057,Japan
1956,816291,863086,1679377,Japan
1957,768154,811982,1580136,Japan
1958,811468,855724,1667192,Japan
1959,796570,842188,1638758,Japan
1960,786710,830367,1617077,Japan
1961,776321,822216,1598537,Japan
1962,789258,837308,1626566,Japan
1963,810347,856127,1666474,Japan
1964,836947,885929,1722876,Japan
1965,891032,938388,1829420,Japan
1966,657867,707905,1365772,Japan
1967,945868,996199,1942067,Japan
1968,906027,970375,1876402,Japan
1969,914815,980930,1895745,Japan
1970,935487,1002149,1937636,Japan
1971,969861,1034967,2004828,Japan
1972,989382,1053687,2043069,Japan
1973,1016286,1079365,2095651,Japan
1974,984841,1047900,2032741,Japan
1975,923601,980353,1903954,Japan
1976,888788,943829,1832617,Japan
1977,851720,903380,1755100,Japan
1978,829494,879149,1708643,Japan
1979,796696,845884,1642580,Japan
1980,765471,811418,1576889,Japan
1981,742859,786596,1529455,Japan
1982,737537,777855,1515392,Japan
1983,733481,775206,1508687,Japan
1984,725183,764597,1489780,Japan
1985,696293,735284,1431577,Japan
1986,671645,711301,1382946,Japan
1987,654354,692304,1346658,Japan
1988,639123,674883,1314006,Japan
1989,606296,640506,1246802,Japan
1990,594614,626971,1221585,Japan
1991,594630,628615,1223245,Japan
1992,586853,622136,1208989,Japan
1993,578038,610244,1188282,Japan
1994,602413,635915,1238328,Japan
1995,578517,608547,1187064,Japan
1996,586762,619793,1206555,Japan
1997,580760,610905,1191665,Japan
1998,585733,617414,1203147,Japan
1999,572900,604769,1177669,Japan
2000,578399,612148,1190547,Japan
2001,569748,600918,1170666,Japan
2002,561021,592843,1153864,Japan
2003,546879,576747,1123626,Japan
2004,541182,569580,1110762,Japan
2005,517512,545060,1062572,Japan
2006,532263,560469,1092732,Japan
2007,530040,559939,1089979,Japan
2008,531902,559814,1091716,Japan
2009,521271,549247,1070518,Japan
2010,520815,550989,1071804,Japan
2011,512753,538531,1051284,Japan
2012,505644,532003,1037647,Japan
2013,502363,527891,1030254,Japan
2014,488269,515792,1004061,Japan
2015,490518,515738,1006256,Japan
2016,475561,502319,977880,Japan
2017,461878,484681,946559,Japan
2018,447743,471062,918805,Japan
2019,422005,443620,865625,Japan
2020,410269,430884,841153,Japan
2021,395719,415903,811622,Japan
1959,17119,17909,35028,Latvia
1960,17353,18115,35468,Latvia
1961,17487,18506,35993,Latvia
1962,16643,18418,35061,Latvia
1963,16486,17357,33843,Latvia
1964,16053,17000,33053,Latvia
1965,15080,16132,31212,Latvia
1966,15690,16284,31974,Latvia
1967,15613,16619,32232,Latvia
1968,15827,16866,32693,Latvia
1969,16022,16893,32915,Latvia
1970,16729,17604,34333,Latvia
1971,17343,17896,35239,Latvia
1972,16839,18168,35007,Latvia
1973,16618,17390,34008,Latvia
1974,16870,18050,34920,Latvia
1975,16911,17899,34810,Latvia
1976,16739,17905,34644,Latvia
1977,16675,17565,34240,Latvia
1978,16729,17529,34258,Latvia
1979,16816,17867,34683,Latvia
1980,17307,18227,35534,Latvia
1981,17279,18453,35732,Latvia
1982,18204,19273,37477,Latvia
1983,19770,20802,40572,Latvia
1984,20015,20832,40847,Latvia
1985,19309,20442,39751,Latvia
1986,20545,21415,41960,Latvia
1987,20528,21607,42135,Latvia
1988,19978,21297,41275,Latvia
1989,18858,20064,38922,Latvia
1990,18582,19336,37918,Latvia
1991,16912,17721,34633,Latvia
1992,15376,16193,31569,Latvia
1993,13155,13604,26759,Latvia
1994,11818,12438,24256,Latvia
1995,10370,11225,21595,Latvia
1996,9509,10273,19782,Latvia
1997,9064,9766,18830,Latvia
1998,8966,9444,18410,Latvia
1999,9446,9950,19396,Latvia
2000,9918,10384,20302,Latvia
2001,9709,10017,19726,Latvia
2002,9814,10313,20127,Latvia
2003,10224,10927,21151,Latvia
2004,9956,10595,20551,Latvia
2005,10697,11182,21879,Latvia
2006,11229,11642,22871,Latvia
2007,11763,12195,23958,Latvia
2008,11955,12442,24397,Latvia
2009,10842,11202,22044,Latvia
2010,9535,10246,19781,Latvia
2011,9176,9649,18825,Latvia
2012,9640,10257,19897,Latvia
2013,10138,10458,20596,Latvia
2014,10516,11230,21746,Latvia
2015,10537,11442,21979,Latvia
2016,10583,11385,21968,Latvia
2017,10031,10797,20828,Latvia
2018,9319,9995,19314,Latvia
2019,9157,9629,18786,Latvia
1959,30458,31783,62241,Lithuania
1960,30484,32001,62485,Lithuania
1961,30574,32201,62775,Lithuania
1962,29105,30623,59728,Lithuania
1963,27710,29314,57024,Lithuania
1964,27217,28639,55856,Lithuania
1965,26109,27709,53818,Lithuania
1966,26494,27781,54275,Lithuania
1967,26515,27291,53806,Lithuania
1968,26550,27708,54258,Lithuania
1969,26356,27907,54263,Lithuania
1970,26993,28526,55519,Lithuania
1971,27356,28688,56044,Lithuania
1972,26645,27971,54616,Lithuania
1973,25440,26504,51944,Lithuania
1974,25551,26390,51941,Lithuania
1975,25428,26338,51766,Lithuania
1976,25532,26764,52296,Lithuania
1977,25483,26683,52166,Lithuania
1978,25303,26518,51821,Lithuania
1979,25379,26558,51937,Lithuania
1980,25198,26567,51765,Lithuania
1981,25415,26834,52249,Lithuania
1982,26002,27139,53141,Lithuania
1983,27860,29729,57589,Lithuania
1984,28074,29502,57576,Lithuania
1985,28676,29778,58454,Lithuania
1986,28675,31030,59705,Lithuania
1987,28943,30417,59360,Lithuania
1988,27637,29090,56727,Lithuania
1989,27103,28679,55782,Lithuania
1990,27732,29136,56868,Lithuania
1991,27324,28895,56219,Lithuania
1992,26209,27408,53617,Lithuania
1993,22984,24480,47464,Lithuania
1994,20699,21677,42376,Lithuania
1995,20024,21171,41195,Lithuania
1996,19096,19970,39066,Lithuania
1997,18312,19500,37812,Lithuania
1998,17799,19220,37019,Lithuania
1999,17659,18756,36415,Lithuania
2000,16467,17682,34149,Lithuania
2001,15232,15953,31185,Lithuania
2002,14308,15233,29541,Lithuania
2003,14477,15500,29977,Lithuania
2004,14603,15166,29769,Lithuania
2005,14442,15068,29510,Lithuania
2006,14585,15021,29606,Lithuania
2007,14672,15348,30020,Lithuania
2008,15295,16241,31536,Lithuania
2009,15646,16519,32165,Lithuania
2010,14945,15731,30676,Lithuania
2011,14612,15656,30268,Lithuania
2012,14899,15560,30459,Lithuania
2013,14664,15221,29885,Lithuania
2014,14804,15565,30369,Lithuania
2015,15274,16201,31475,Lithuania
2016,14776,15847,30623,Lithuania
2017,13921,14775,28696,Lithuania
2018,13787,14362,28149,Lithuania
2019,13307,14086,27393,Lithuania
2020,12115,13029,25144,Lithuania
1950,2171,2230,4401,Luxembourg
1951,1989,2187,4176,Luxembourg
1952,2212,2323,4535,Luxembourg
1953,2207,2358,4565,Luxembourg
1954,2313,2400,4713,Luxembourg
1955,2258,2406,4664,Luxembourg
1956,2433,2400,4833,Luxembourg
1957,2337,2617,4954,Luxembourg
1958,2358,2601,4959,Luxembourg
1959,2419,2618,5037,Luxembourg
1960,2483,2536,5019,Luxembourg
1961,2529,2583,5112,Luxembourg
1962,2523,2614,5137,Luxembourg
1963,2473,2639,5112,Luxembourg
1964,2470,2759,5229,Luxembourg
1965,2587,2710,5297,Luxembourg
1966,2576,2618,5194,Luxembourg
1967,2370,2587,4957,Luxembourg
1968,2316,2464,4780,Luxembourg
1969,2204,2358,4562,Luxembourg
1970,2186,2225,4411,Luxembourg
1971,2126,2386,4512,Luxembourg
1972,1964,2174,4138,Luxembourg
1973,1850,1997,3847,Luxembourg
1974,1884,2041,3925,Luxembourg
1975,1952,2045,3997,Luxembourg
1976,1896,2019,3915,Luxembourg
1977,1948,2105,4053,Luxembourg
1978,1994,2078,4072,Luxembourg
1979,1999,2079,4078,Luxembourg
1980,2087,2082,4169,Luxembourg
1981,2090,2324,4414,Luxembourg
1982,2106,2194,4300,Luxembourg
1983,2068,2117,4185,Luxembourg
1984,2000,2192,4192,Luxembourg
1985,1982,2122,4104,Luxembourg
1986,2104,2205,4309,Luxembourg
1987,2079,2159,4238,Luxembourg
1988,2276,2327,4603,Luxembourg
1989,2290,2375,4665,Luxembourg
1990,2354,2582,4936,Luxembourg
1991,2429,2557,4986,Luxembourg
1992,2523,2626,5149,Luxembourg
1993,2560,2793,5353,Luxembourg
1994,2681,2770,5451,Luxembourg
1995,2639,2782,5421,Luxembourg
1996,2707,2982,5689,Luxembourg
1997,2670,2833,5503,Luxembourg
1998,2566,2820,5386,Luxembourg
1999,2714,2868,5582,Luxembourg
2000,2745,2978,5723,Luxembourg
2001,2668,2791,5459,Luxembourg
2002,2601,2744,5345,Luxembourg
2003,2489,2814,5303,Luxembourg
2004,2629,2823,5452,Luxembourg
2005,2587,2784,5371,Luxembourg
2006,2688,2826,5514,Luxembourg
2007,2723,2754,5477,Luxembourg
2008,2722,2874,5596,Luxembourg
2009,2722,2916,5638,Luxembourg
2010,2914,2960,5874,Luxembourg
2011,2726,2913,5639,Luxembourg
2012,2937,3089,6026,Luxembourg
2013,2986,3129,6115,Luxembourg
2014,2931,3139,6070,Luxembourg
2015,2947,3168,6115,Luxembourg
2016,2973,3077,6050,Luxembourg
2017,3003,3171,6174,Luxembourg
2018,3078,3196,6274,Luxembourg
2019,3123,3107,6230,Luxembourg
2020,3163,3296,6459,Luxembourg
2021,3273,3417,6690,Luxembourg
2022,3196,3299,6495,Luxembourg
1850,51994,55130,107124,Netherlands
1851,53157,56025,109182,Netherlands
1852,54361,57523,111884,Netherlands
1853,51495,54566,106061,Netherlands
1854,51556,54390,105946,Netherlands
1855,50551,53985,104536,Netherlands
1856,52316,55477,107793,Netherlands
1857,56339,59027,115366,Netherlands
1858,52860,55923,108783,Netherlands
1859,57188,60468,117656,Netherlands
1860,51750,55145,106895,Netherlands
1861,58028,61756,119784,Netherlands
1862,55250,58777,114027,Netherlands
1863,61001,65099,126100,Netherlands
1864,60946,64339,125285,Netherlands
1865,62417,65885,128302,Netherlands
1866,61618,65050,126668,Netherlands
1867,61944,65809,127753,Netherlands
1868,61899,65425,127324,Netherlands
1869,60973,64129,125102,Netherlands
1870,63919,67692,131611,Netherlands
1871,63631,66360,129991,Netherlands
1872,65049,68353,133402,Netherlands
1873,66094,69496,135590,Netherlands
1874,67119,70810,137929,Netherlands
1875,67929,72398,140327,Netherlands
1876,70339,74306,144645,Netherlands
1877,70556,74454,145010,Netherlands
1878,70365,74860,145225,Netherlands
1879,72740,76858,149598,Netherlands
1880,71203,75060,146263,Netherlands
1881,70764,74676,145440,Netherlands
1882,72338,76499,148837,Netherlands
1883,71218,75341,146559,Netherlands
1884,73247,77665,150912,Netherlands
1885,73044,77477,150521,Netherlands
1886,74628,78722,153350,Netherlands
1887,73799,77837,151636,Netherlands
1888,74661,78919,153580,Netherlands
1889,74056,78855,152911,Netherlands
1890,73735,77954,151689,Netherlands
1891,76382,80662,157044,Netherlands
1892,73411,77642,151053,Netherlands
1893,78537,82879,161416,Netherlands
1894,76630,80456,157086,Netherlands
1895,78075,82490,160565,Netherlands
1896,79360,83295,162655,Netherlands
1897,79921,83879,163800,Netherlands
1898,79235,83843,163078,Netherlands
1899,80593,85030,165623,Netherlands
1900,78959,83531,162490,Netherlands
1901,81990,86283,168273,Netherlands
1902,81745,86983,168728,Netherlands
1903,82722,87386,170108,Netherlands
1904,83576,87919,171495,Netherlands
1905,83250,87517,170767,Netherlands
1906,83803,87149,170952,Netherlands
1907,83715,87791,171506,Netherlands
1908,83544,88317,171861,Netherlands
1909,83380,87386,170766,Netherlands
1910,82001,86893,168894,Netherlands
1911,81223,85304,166527,Netherlands
1912,82884,87385,170269,Netherlands
1913,84784,88757,173541,Netherlands
1914,86016,90815,176831,Netherlands
1915,81316,86107,167423,Netherlands
1916,83983,88589,172572,Netherlands
1917,84253,88859,173112,Netherlands
1918,82244,87251,169495,Netherlands
1919,80325,85746,166071,Netherlands
1920,94428,100588,195016,Netherlands
1921,92917,98523,191440,Netherlands
1922,89196,94558,183754,Netherlands
1923,90919,96593,187512,Netherlands
1924,88738,93692,182430,Netherlands
1925,86814,91731,178545,Netherlands
1926,86059,91434,177493,Netherlands
1927,84954,90144,175098,Netherlands
1928,87143,91885,179028,Netherlands
1929,86027,91189,177216,Netherlands
1930,88353,93957,182310,Netherlands
1931,85772,91615,177387,Netherlands
1932,86521,92004,178525,Netherlands
1933,83153,88136,171289,Netherlands
1934,83489,88725,172214,Netherlands
1935,82515,87910,170425,Netherlands
1936,83224,88451,171675,Netherlands
1937,82716,87504,170220,Netherlands
1938,86554,91868,178422,Netherlands
1939,88212,92705,180917,Netherlands
1940,90085,94761,184846,Netherlands
1941,87880,94079,181959,Netherlands
1942,91467,98508,189975,Netherlands
1943,101185,108194,209379,Netherlands
1944,106274,113672,219946,Netherlands
1945,101113,108494,209607,Netherlands
1946,137431,147025,284456,Netherlands
1947,129826,137522,267348,Netherlands
1948,119678,128245,247923,Netherlands
1949,114371,121806,236177,Netherlands
1950,111197,118521,229718,Netherlands
1951,110604,117803,228407,Netherlands
1952,112290,119598,231888,Netherlands
1953,110459,117505,227964,Netherlands
1954,110501,117672,228173,Netherlands
1955,111634,117588,229222,Netherlands
1956,112293,119199,231492,Netherlands
1957,113636,120256,233892,Netherlands
1958,115159,121700,236859,Netherlands
1959,118226,124292,242518,Netherlands
1960,116332,122796,239128,Netherlands
1961,120667,126740,247407,Netherlands
1962,120061,126089,246150,Netherlands
1963,121420,128459,249879,Netherlands
1964,121879,129035,250914,Netherlands
1965,119152,126064,245216,Netherlands
1966,116745,122866,239611,Netherlands
1967,116149,122529,238678,Netherlands
1968,115823,121289,237112,Netherlands
1969,120465,127123,247588,Netherlands
1970,116582,122330,238912,Netherlands
1971,110546,116634,227180,Netherlands
1972,104659,109474,214133,Netherlands
1973,95264,99729,194993,Netherlands
1974,90552,95430,185982,Netherlands
1975,86786,91090,177876,Netherlands
1976,85962,91128,177090,Netherlands
1977,84342,88954,173296,Netherlands
1978,85586,89964,175550,Netherlands
1979,85354,89625,174979,Netherlands
1980,88346,92948,181294,Netherlands
1981,87392,91177,178569,Netherlands
1982,83852,88219,172071,Netherlands
1983,83209,87037,170246,Netherlands
1984,84942,89494,174436,Netherlands
1985,87109,91027,178136,Netherlands
1986,90660,93853,184513,Netherlands
1987,90848,95819,186667,Netherlands
1988,91173,95474,186647,Netherlands
1989,92679,96300,188979,Netherlands
1990,96404,101561,197965,Netherlands
1991,97084,101581,198665,Netherlands
